ID,n_sms,mean_happy,mean_lonely
475,13,8.538461538461538,2.6363636363636362
476,15,7.666666666666667,4.357142857142857
477,11,6.818181818181818,1.9411764705882353
478,4,6.5,7.0
482,10,7.7,4.285714285714286
483,10,5.9,8.0
485,13,6.384615384615385,2.2666666666666666
490,4,4.75,4.4
491,15,6.333333333333333,4.3
493,14,3.5714285714285716,5.3
494,10,8.6,3.909090909090909
499,10,3.7,5.75
500,8,6.0,4.928571428571429
502,12,7.75,3.25
503,17,7.470588235294118,7.071428571428571
504,11,6.090909090909091,2.5
505,14,4.642857142857143,2.3636363636363638
512,9,7.555555555555555,3.3333333333333335
513,3,7.0,5.0
514,11,6.363636363636363,3.5
516,13,4.0,7.0
519,3,9.666666666666666,9.0
520,16,8.0625,2.0
522,14,7.214285714285714,2.4285714285714284
524,11,8.181818181818182,3.6666666666666665
525,7,8.428571428571429,6.4
526,11,6.0,4.538461538461538
529,20,8.35,2.6363636363636362
535,6,7.166666666666667,4.0
537,9,6.444444444444445,5.5
539,15,7.0,2.4
541,13,7.0,3.4545454545454546
542,11,6.363636363636363,4.588235294117647
543,14,6.571428571428571,3.75
546,12,8.333333333333334,6.133333333333334
548,11,6.545454545454546,5.428571428571429
549,13,4.923076923076923,6.2272727272727275
551,19,8.210526315789474,3.142857142857143
552,12,8.5,1.8461538461538463
553,4,6.0,5.2
554,10,5.7,3.764705882352941
555,14,6.642857142857143,4.333333333333333
557,16,9.5625,2.142857142857143
558,11,6.090909090909091,3.8461538461538463
559,4,7.75,6.333333333333333
560,18,6.0,3.1538461538461537
563,11,7.7272727272727275,5.0
568,18,7.555555555555555,4.0
569,16,8.5,4.0
570,12,9.25,1.6428571428571428
571,14,8.642857142857142,3.75
572,14,7.857142857142857,3.3333333333333335
573,15,6.066666666666666,4.882352941176471
574,14,8.428571428571429,2.4615384615384617
576,11,4.909090909090909,2.9285714285714284
578,18,4.611111111111111,4.461538461538462
579,13,8.076923076923077,3.8461538461538463
582,13,7.076923076923077,3.5454545454545454
583,6,8.0,2.5
584,5,6.8,5.5
