id,wta_change_code1,wta_change_code2,wta_change_code3,startdate,fbhrs_iphone_success,battery_days,fbhrs_battery,fbhrs_nonbattery,fbhrs_noapp,autom_reac,apps_less_use
163,Other,,,05/12/2018 06:59,,,,7.0,,No,ANONYMIZED
168,,,,03/12/2018 08:23,,,,7.0,,No,ANONYMIZED
169,Strategic BDM,,,03/12/2018 10:27,,,,25.0,,No,ANONYMIZED
171,Convex cost,,,03/12/2018 07:52,,,,,2.0,,ANONYMIZED
173,Strategic BDM,,,04/12/2018 20:11,,,,50.0,,No,ANONYMIZED
174,,,,06/12/2018 20:26,,,,,1.0,No,ANONYMIZED
177,Strategic BDM,,,03/12/2018 09:18,,,,0.5,,,ANONYMIZED
179,Convex cost,Misunderst. 4vs8 wks,,09/12/2018 18:10,,,,7.0,,No,ANONYMIZED
180,,,,10/12/2018 21:27,,,,3.0,,No,ANONYMIZED
182,Convex cost,Anchoring,Strategic BDM,03/12/2018 08:30,,,,8.0,,,ANONYMIZED
189,,,,04/12/2018 17:33,,,,,9.0,No,ANONYMIZED
190,Other,,,04/12/2018 15:56,,,,,7.0,No,ANONYMIZED
191,,,,03/12/2018 07:54,,,,,1.0,No,ANONYMIZED
193,,,,03/12/2018 13:27,,,,15.0,,No,ANONYMIZED
195,Time shock,,,03/12/2018 09:16,,,,8.0,,No,ANONYMIZED
202,,,,03/12/2018 11:51,Yes,Last 7 days,3.6,,,Yes,ANONYMIZED
206,Strategic BDM,,,03/12/2018 09:06,Yes,Last 10 days,7 hrs 24 mns,,,,ANONYMIZED
207,,,,03/12/2018 07:55,,,,7.0,,No,ANONYMIZED
209,,,,03/12/2018 10:45,,,,7.0,,No,ANONYMIZED
213,Strategic BDM,,,03/12/2018 09:10,,,,,7.0,No,ANONYMIZED
217,Other,,,03/12/2018 08:51,,,,,0.0,,ANONYMIZED
218,,,,03/12/2018 11:06,,,,,10.0,No,ANONYMIZED
219,,,,03/12/2018 14:32,,,,7.0,,No,ANONYMIZED
220,Strategic BDM,Anchoring,,03/12/2018 13:31,Yes,Last day,15 minutes,,,No,ANONYMIZED
222,,,,03/12/2018 16:20,,,,12.0,,No,ANONYMIZED
225,Other,,,04/12/2018 02:31,,,,9.0,,No,ANONYMIZED
227,,,,04/12/2018 18:04,Yes,Last 10 days,4 hours and 25 minutes,,,No,ANONYMIZED
228,Other,,,03/12/2018 10:06,Yes,Last 10 days,hours and minutes,,,No,ANONYMIZED
232,Convex cost,,,05/12/2018 13:42,,,,,2.0,,ANONYMIZED
233,,,,03/12/2018 09:48,,,,5.0,,No,ANONYMIZED
234,Other,,,03/12/2018 08:22,Yes,Last 7 days,37,,,No,ANONYMIZED
236,Convex cost,,,03/12/2018 08:06,,,,3.0,,,ANONYMIZED
237,Time shock,,,03/12/2018 08:47,No,,,1.5,,No,ANONYMIZED
240,Other,,,03/12/2018 08:05,Yes,Last 8 days,Hours and minutes,,,Yes,ANONYMIZED
243,,,,03/12/2018 19:44,,,,,3.0,No,ANONYMIZED
245,,,,03/12/2018 18:48,Yes,Last 7 days,1.2hrs,,,,ANONYMIZED
248,,,,05/12/2018 17:36,,,,15.0,,No,ANONYMIZED
250,,,,03/12/2018 07:57,Yes,Last day,2hrs 32minutes,,,Yes,ANONYMIZED
251,Other,,,03/12/2018 07:52,Yes,Last 10 days,4 hours 25 minutes ,,,Yes,ANONYMIZED
252,,,,03/12/2018 09:31,Yes,Last 7 days,Hours,,,No,ANONYMIZED
253,,,,04/12/2018 16:34,Yes,Last 10 days,1 hour 24 minutes,,,No,ANONYMIZED
254,Strategic BDM,Anchoring,,04/12/2018 08:52,,,,,5.0,No,ANONYMIZED
256,,,,03/12/2018 08:13,,,,40.0,,Yes,ANONYMIZED
257,,,,03/12/2018 08:08,Yes,Last day,5 hours 42 minutes ,,,No,ANONYMIZED
264,Other,,,06/12/2018 07:39,,,,21.0,,,ANONYMIZED
265,,,,03/12/2018 07:53,,,,10.0,,No,ANONYMIZED
266,Other,,,03/12/2018 11:19,Yes,Last 5 days,0,,,No,ANONYMIZED
267,Anchoring,Time shock,,03/12/2018 08:16,,,,7.0,,,ANONYMIZED
269,,,,03/12/2018 11:54,Yes,Last 5 days,Hours and minutes,,,No,ANONYMIZED
270,,,,03/12/2018 09:12,,,,1.0,,No,ANONYMIZED
272,,,,03/12/2018 09:29,Yes,Last 10 days,6h 4m,,,No,ANONYMIZED
277,Strategic BDM,,,03/12/2018 10:33,,,,3.0,,Yes,ANONYMIZED
278,Other,,,03/12/2018 14:04,,,,7.0,,No,ANONYMIZED
279,,,,03/12/2018 19:38,,,,7.0,,No,ANONYMIZED
281,,,,03/12/2018 12:28,Yes,Last day,6 min,,,No,ANONYMIZED
282,,,,03/12/2018 19:54,,,,,4.0,No,ANONYMIZED
290,Strategic BDM,,,04/12/2018 05:05,Yes,Last 10 days,37 MIN,,,No,ANONYMIZED
292,,,,03/12/2018 10:17,,,,8.0,,No,ANONYMIZED
295,Strategic BDM,,,04/12/2018 18:38,,,,,10.0,No,ANONYMIZED
296,,,,03/12/2018 10:52,Yes,Last 7 days,"9 hours, 15 minutes",,,,ANONYMIZED
297,Strategic BDM,Anchoring,,03/12/2018 12:13,,,,3.0,,,ANONYMIZED
299,Other,Misunderst. 4vs8 wks,,03/12/2018 13:18,,,,,5.0,,ANONYMIZED
300,,,,03/12/2018 11:48,,,,6.0,,No,ANONYMIZED
301,Time shock,,,05/12/2018 07:50,,,,3.0,,No,ANONYMIZED
313,,,,03/12/2018 07:52,Yes,Last 9 days,9 hrs and 39 min,,,Yes,ANONYMIZED
319,,,,04/12/2018 15:59,,,,2.0,,No,ANONYMIZED
324,Other,,,03/12/2018 17:33,,,,150.0,,No,ANONYMIZED
325,Strategic BDM,Anchoring,,03/12/2018 08:11,Yes,Last 10 days,14 hrs. 10 min.,,,,ANONYMIZED
326,,,,03/12/2018 12:15,Yes,Last 10 days,12 hours 31 minutes,,,Yes,ANONYMIZED
328,Other,Anchoring,,04/12/2018 15:03,,,,,2.0,No,ANONYMIZED
331,Convex cost,,,03/12/2018 10:40,Yes,Last 7 days,1.5 hrs,,,,ANONYMIZED
332,Convex cost,,,03/12/2018 07:53,,,,7.0,,,ANONYMIZED
335,,,,04/12/2018 06:02,Yes,Last 20 days or more,0,,,,ANONYMIZED
340,,,,05/12/2018 18:26,Yes,Last 10 days,22h 40m,,,Yes,ANONYMIZED
342,Other,,,03/12/2018 08:15,Yes,Last day,29 minutes,,,Yes,ANONYMIZED
343,,,,03/12/2018 16:03,Yes,Last 7 days,5.4 hours,,,No,ANONYMIZED
345,Other,,,03/12/2018 17:05,,,,3.0,,No,ANONYMIZED
348,,,,03/12/2018 11:03,Yes,Last 10 days,7h 23m,,,,ANONYMIZED
349,,,,03/12/2018 07:53,,,,20.0,,No,ANONYMIZED
350,Convex cost,Misunderst. 4vs8 wks,,03/12/2018 08:47,Yes,Last 7 days,3 hours 21 minutes,,,,ANONYMIZED
352,,,,03/12/2018 16:40,Yes,Last day,1.65 hrs ,,,,ANONYMIZED
355,Other,,,03/12/2018 08:55,,,,15.0,,No,ANONYMIZED
357,,,,04/12/2018 09:53,,,,12.0,,Yes,ANONYMIZED
359,,,,03/12/2018 07:59,Yes,Last day,38 minutes,,,No,ANONYMIZED
367,Other,,,03/12/2018 08:45,Yes,Last 10 days,11 hrs 15 min ,,,Yes,ANONYMIZED
368,,,,03/12/2018 08:46,Yes,Last 10 days,16 hrs and 49 minutes,,,No,ANONYMIZED
371,,,,14/12/2018 12:34,,,,3.0,,No,ANONYMIZED
380,,,,06/12/2018 23:06,,,,0.0,,,ANONYMIZED
382,Strategic BDM,,,03/12/2018 10:19,,,,21.0,,No,ANONYMIZED
384,,,,03/12/2018 08:50,,,,60.0,,No,ANONYMIZED
385,Other,,,03/12/2018 08:13,,,,,2.0,,ANONYMIZED
397,,,,03/12/2018 08:03,,,,,1.0,No,ANONYMIZED
399,Convex cost,,,03/12/2018 07:55,Yes,Last 7 days,43 min,,,,ANONYMIZED
400,,,,03/12/2018 14:14,Yes,Last 10 days,4 hrs 48 min,,,No,ANONYMIZED
401,,,,03/12/2018 09:08,,,,,20.0,No,ANONYMIZED
402,,,,03/12/2018 10:35,Yes,Last 7 days,2.4 hours ,,,,ANONYMIZED
